order_id,date,month,quarter,year,region,category,product,sales_rep,units_sold,unit_price,discount_pct,revenue,cost,profit,profit_margin,customer_rating
ORD-10221,2022-02-18,2,1,2022,East,Home & Garden,Coffee Maker,Carol White,28,73.97,0.15,1496.41,1343.48,152.93,10.22,4.0
ORD-10671,2022-02-20,2,1,2022,North,Clothing,Jacket,Carol White,5,128.75,0.05,519.83,413.96,105.87,20.37,4.7
ORD-10168,2022-02-22,2,1,2022,East,Food & Beverage,Green Tea,Carol White,7,12.66,0.2,60.26,53.3,6.96,11.55,4.0
ORD-10263,2022-02-22,2,1,2022,West,Clothing,Dress,Eva Martinez,50,73.49,0.15,2654.83,1945.85,708.98,26.71,4.1
ORD-10044,2022-02-22,2,1,2022,North,Sports,Running Shoes,Alice Johnson,1,112.44,0.1,86.02,73.56,12.46,14.49,4.4
ORD-10079,2022-02-23,2,1,2022,East,Clothing,Jacket,Alice Johnson,13,124.14,0.0,1371.75,1113.41,258.34,18.83,4.3
ORD-10786,2022-02-25,2,1,2022,North,Sports,Water Bottle,Bob Smith,46,21.31,0.2,666.58,664.87,1.71,0.26,3.3
ORD-10720,2022-02-25,2,1,2022,South,Food & Beverage,Protein Powder,Carol White,1,44.17,0.1,33.79,28.21,5.58,16.51,4.8
ORD-10746,2022-02-25,2,1,2022,South,Sports,Water Bottle,Alice Johnson,47,18.46,0.2,589.98,453.45,136.53,23.14,4.3
ORD-10556,2022-02-25,2,1,2022,North,Home & Garden,Vacuum,Eva Martinez,14,219.14,0.15,2216.6,2043.25,173.35,7.82,4.4
ORD-10973,2022-02-26,2,1,2022,North,Home & Garden,Blender,Carol White,5,58.84,0.15,212.56,199.87,12.69,5.97,4.1
ORD-10443,2022-02-27,2,1,2022,South,Food & Beverage,Energy Bars,Carol White,12,21.51,0.05,208.43,141.27,67.16,32.22,3.6
ORD-10032,2022-03-02,3,1,2022,South,Sports,Yoga Mat,David Brown,17,34.6,0.15,424.97,327.66,97.31,22.9,5.0
ORD-10403,2022-03-03,3,1,2022,West,Food & Beverage,Green Tea,Eva Martinez,50,12.13,0.15,438.2,354.63,83.57,19.07,3.8
ORD-10192,2022-03-05,3,1,2022,West,Electronics,Tablet,Alice Johnson,9,481.02,0.05,3495.81,2198.48,1297.33,37.11,4.0
ORD-10266,2022-03-05,3,1,2022,South,Food & Beverage,Protein Powder,Eva Martinez,21,42.61,0.15,646.5,541.45,105.05,16.25,3.3
ORD-10072,2022-03-05,3,1,2022,South,Sports,Water Bottle,Eva Martinez,45,19.25,0.0,736.31,581.55,154.76,21.02,4.3
ORD-10158,2022-03-07,3,1,2022,West,Sports,Running Shoes,Eva Martinez,10,113.75,0.0,966.88,671.58,295.3,30.54,3.6
ORD-10852,2022-03-07,3,1,2022,North,Electronics,Headphones,Eva Martinez,13,160.73,0.2,1420.85,1136.92,283.93,19.98,4.0
ORD-10434,2022-03-08,3,1,2022,South,Sports,Dumbbells,Alice Johnson,22,78.5,0.0,1467.95,878.25,589.7,40.17,5.0
ORD-10760,2022-03-11,3,1,2022,West,Food & Beverage,Coffee Beans,Carol White,31,19.1,0.05,478.12,310.5,167.62,35.06,4.3
ORD-10188,2022-03-11,3,1,2022,West,Sports,Running Shoes,Carol White,10,114.8,0.0,975.8,654.81,320.99,32.9,3.9
ORD-10036,2022-03-11,3,1,2022,South,Sports,Yoga Mat,Eva Martinez,16,33.19,0.2,361.11,328.66,32.45,8.99,5.0
ORD-10085,2022-03-12,3,1,2022,East,Electronics,Headphones,David Brown,2,157.66,0.15,227.82,218.25,9.57,4.2,3.5
ORD-10057,2022-03-13,3,1,2022,East,Food & Beverage,Green Tea,Alice Johnson,47,13.07,0.1,469.93,369.45,100.48,21.38,4.2
ORD-10025,2022-03-14,3,1,2022,South,Home & Garden,Lamp,Bob Smith,35,43.44,0.05,1227.72,980.16,247.56,20.16,3.6
ORD-10039,2022-03-16,3,1,2022,North,Sports,Resistance Bands,Eva Martinez,7,15.82,0.0,94.13,67.28,26.85,28.52,2.4
ORD-10402,2022-03-16,3,1,2022,North,Food & Beverage,Coffee Beans,Alice Johnson,17,18.49,0.05,253.82,159.67,94.15,37.09,3.7
ORD-10574,2022-03-16,3,1,2022,East,Food & Beverage,Coffee Beans,Carol White,44,21.38,0.1,719.65,584.48,135.17,18.78,3.4
ORD-10246,2022-03-16,3,1,2022,North,Clothing,Jeans,David Brown,31,63.24,0.15,1416.42,1060.21,356.21,25.15,3.5
ORD-10100,2022-03-17,3,1,2022,North,Clothing,Sneakers,Eva Martinez,20,96.19,0.0,1635.23,1344.32,290.91,17.79,4.2
ORD-10571,2022-03-17,3,1,2022,North,Clothing,T-Shirt,Eva Martinez,5,26.05,0.2,88.57,86.53,2.04,2.3,4.3
ORD-10189,2022-03-17,3,1,2022,East,Sports,Water Bottle,Alice Johnson,4,24.41,0.1,74.69,65.06,9.63,12.89,3.4
ORD-10460,2022-03-18,3,1,2022,North,Home & Garden,Blender,Eva Martinez,31,60.85,0.0,1603.4,1105.9,497.5,31.03,3.1
ORD-10104,2022-03-18,3,1,2022,South,Electronics,Headphones,David Brown,12,146.17,0.2,1192.75,1041.87,150.88,12.65,5.0
ORD-10834,2022-03-19,3,1,2022,West,Home & Garden,Lamp,Carol White,17,46.89,0.05,643.68,523.03,120.65,18.74,4.3
ORD-10030,2022-03-19,3,1,2022,West,Food & Beverage,Coffee Beans,Alice Johnson,42,17.57,0.2,501.8,492.36,9.44,1.88,4.1
ORD-10964,2022-03-20,3,1,2022,East,Food & Beverage,Green Tea,David Brown,43,13.93,0.2,407.31,337.03,70.28,17.25,5.0
ORD-10190,2022-03-20,3,1,2022,North,Food & Beverage,Olive Oil,Eva Martinez,25,14.08,0.15,254.32,216.86,37.46,14.73,3.7
ORD-10947,2022-03-20,3,1,2022,West,Sports,Dumbbells,Carol White,43,79.65,0.15,2474.53,2048.29,426.24,17.23,3.8
ORD-10454,2022-03-21,3,1,2022,South,Home & Garden,Plant Pot,Bob Smith,41,19.61,0.0,683.41,534.13,149.28,21.84,5.0
ORD-10416,2022-03-21,3,1,2022,East,Electronics,Smart Watch,Alice Johnson,3,313.43,0.05,759.28,621.41,137.87,18.16,3.4
ORD-10181,2022-03-21,3,1,2022,East,Food & Beverage,Energy Bars,Eva Martinez,26,24.07,0.15,452.15,349.15,103.0,22.78,4.4
ORD-10405,2022-03-22,3,1,2022,South,Clothing,Dress,Carol White,26,75.29,0.2,1331.13,1227.1,104.03,7.82,3.9
ORD-10020,2022-03-22,3,1,2022,North,Sports,Yoga Mat,Eva Martinez,50,38.11,0.05,1538.69,1001.68,537.01,34.9,4.0
ORD-10007,2022-03-23,3,1,2022,South,Electronics,Headphones,Carol White,8,130.21,0.1,796.89,554.73,242.16,30.39,3.6
ORD-10161,2022-03-24,3,1,2022,East,Food & Beverage,Protein Powder,Alice Johnson,9,47.47,0.1,326.83,266.96,59.87,18.32,5.0
ORD-10223,2022-03-26,3,1,2022,West,Electronics,Headphones,Eva Martinez,14,152.75,0.05,1726.84,1302.55,424.29,24.57,3.2
ORD-10372,2022-03-26,3,1,2022,North,Clothing,T-Shirt,Alice Johnson,18,26.93,0.05,391.43,294.49,96.94,24.77,3.4
ORD-10988,2022-03-26,3,1,2022,North,Clothing,Sneakers,Eva Martinez,46,99.81,0.05,3707.44,3073.35,634.09,17.1,4.6
ORD-10197,2022-03-28,3,1,2022,East,Food & Beverage,Energy Bars,Carol White,9,25.63,0.2,156.86,119.65,37.21,23.72,3.9
ORD-10397,2022-03-28,3,1,2022,South,Food & Beverage,Olive Oil,Eva Martinez,47,12.58,0.2,402.06,329.32,72.74,18.09,4.9
ORD-10353,2022-03-29,3,1,2022,North,Clothing,T-Shirt,Bob Smith,42,24.57,0.2,701.72,525.11,176.61,25.17,5.0
ORD-10357,2022-03-29,3,1,2022,North,Clothing,T-Shirt,Carol White,22,26.2,0.15,416.45,378.61,37.84,9.09,4.9
ORD-10088,2022-03-30,3,1,2022,East,Sports,Dumbbells,David Brown,37,88.06,0.2,2215.59,2064.53,151.06,6.82,5.0
ORD-10376,2022-03-31,3,1,2022,West,Electronics,Smartphone,Bob Smith,5,760.97,0.1,2910.71,2557.66,353.05,12.13,4.7
ORD-10141,2022-04-03,4,2,2022,East,Home & Garden,Lamp,Bob Smith,13,53.43,0.05,593.87,456.56,137.31,23.12,3.0
ORD-10130,2022-04-03,4,2,2022,West,Electronics,Laptop,David Brown,2,1144.38,0.1,1853.9,1557.92,295.98,15.97,4.0
ORD-10390,2022-04-04,4,2,2022,North,Electronics,Smartphone,David Brown,1,847.46,0.05,724.58,524.35,200.23,27.63,3.0
ORD-10903,2022-04-05,4,2,2022,East,Electronics,Smart Watch,Bob Smith,10,334.41,0.2,2407.75,1820.62,587.13,24.39,4.6
ORD-10166,2022-04-06,4,2,2022,West,Electronics,Tablet,Bob Smith,9,501.9,0.0,4065.39,2788.37,1277.02,31.41,3.3
ORD-10242,2022-04-06,4,2,2022,South,Food & Beverage,Olive Oil,Bob Smith,11,12.8,0.2,101.38,90.69,10.69,10.54,3.2
ORD-10031,2022-04-06,4,2,2022,South,Clothing,Jeans,David Brown,31,53.85,0.05,1427.29,1123.36,303.93,21.29,3.1
ORD-10195,2022-04-07,4,2,2022,West,Home & Garden,Plant Pot,Eva Martinez,10,19.1,0.1,154.71,98.61,56.1,36.26,4.3
ORD-10708,2022-04-08,4,2,2022,East,Electronics,Smart Watch,David Brown,2,330.94,0.0,595.69,452.97,142.72,23.96,4.0
ORD-10463,2022-04-09,4,2,2022,North,Sports,Resistance Bands,Eva Martinez,32,15.31,0.05,418.88,250.3,168.58,40.25,4.2
ORD-10103,2022-04-12,4,2,2022,South,Clothing,T-Shirt,Alice Johnson,11,24.36,0.05,229.11,143.3,85.81,37.45,4.3
ORD-10934,2022-04-12,4,2,2022,South,Food & Beverage,Energy Bars,Carol White,45,19.76,0.2,640.22,477.52,162.7,25.41,3.9
ORD-10200,2022-04-14,4,2,2022,North,Home & Garden,Blender,Bob Smith,39,53.15,0.15,1585.73,1100.37,485.36,30.61,3.7
ORD-10375,2022-04-15,4,2,2022,South,Home & Garden,Coffee Maker,David Brown,17,67.96,0.1,935.81,776.88,158.93,16.98,3.1
ORD-10838,2022-04-19,4,2,2022,West,Home & Garden,Coffee Maker,Alice Johnson,5,79.56,0.0,358.02,244.36,113.66,31.75,4.9
ORD-10183,2022-04-19,4,2,2022,South,Sports,Resistance Bands,David Brown,34,14.41,0.0,440.95,283.75,157.2,35.65,3.8
ORD-10762,2022-04-22,4,2,2022,North,Sports,Resistance Bands,Carol White,28,15.46,0.2,311.67,289.84,21.83,7.0,5.0
ORD-10156,2022-04-23,4,2,2022,North,Clothing,Jacket,Carol White,13,131.2,0.05,1458.29,1053.67,404.62,27.75,4.5
ORD-10721,2022-04-24,4,2,2022,East,Sports,Water Bottle,Alice Johnson,22,22.2,0.05,417.58,316.48,101.1,24.21,3.0
ORD-10046,2022-04-25,4,2,2022,North,Clothing,Dress,Alice Johnson,24,81.05,0.2,1400.54,1187.55,212.99,15.21,4.0
ORD-10928,2022-04-25,4,2,2022,North,Electronics,Headphones,David Brown,1,168.47,0.05,144.04,87.87,56.17,39.0,3.7
ORD-10819,2022-04-25,4,2,2022,South,Food & Beverage,Protein Powder,David Brown,24,47.16,0.05,967.72,625.06,342.66,35.41,3.2
ORD-10300,2022-04-26,4,2,2022,North,Sports,Resistance Bands,Alice Johnson,16,16.35,0.05,223.67,134.32,89.35,39.95,3.3
ORD-10119,2022-04-27,4,2,2022,West,Electronics,Smartphone,David Brown,3,773.53,0.2,1670.82,1487.69,183.13,10.96,4.8
ORD-10517,2022-04-27,4,2,2022,North,Sports,Dumbbells,Eva Martinez,13,81.97,0.1,863.14,710.02,153.12,17.74,5.0
ORD-10082,2022-04-28,4,2,2022,South,Home & Garden,Coffee Maker,Eva Martinez,2,74.68,0.1,120.98,91.88,29.1,24.05,4.3
ORD-10148,2022-04-29,4,2,2022,North,Clothing,Dress,Bob Smith,25,87.78,0.15,1678.79,1260.09,418.7,24.94,4.3
ORD-10514,2022-04-29,4,2,2022,West,Sports,Water Bottle,Alice Johnson,36,20.61,0.1,600.99,441.38,159.61,26.56,3.3
ORD-10823,2022-04-29,4,2,2022,North,Clothing,Jeans,David Brown,31,62.41,0.1,1567.12,1151.64,415.48,26.51,4.7
ORD-10902,2022-04-30,4,2,2022,East,Electronics,Headphones,Eva Martinez,14,150.12,0.05,1796.94,1238.3,558.64,31.09,2.8
ORD-10410,2022-05-01,5,2,2022,North,Home & Garden,Lamp,Carol White,34,46.03,0.0,1408.52,864.81,543.71,38.6,4.8
ORD-10501,2022-05-01,5,2,2022,West,Electronics,Smart Watch,Eva Martinez,10,300.89,0.0,2708.01,1788.62,919.39,33.95,3.3
ORD-10861,2022-05-01,5,2,2022,North,Food & Beverage,Green Tea,Eva Martinez,33,13.07,0.05,368.77,255.7,113.07,30.66,4.3
ORD-10949,2022-05-02,5,2,2022,West,Sports,Running Shoes,David Brown,8,113.09,0.15,692.11,458.87,233.24,33.7,3.9
ORD-10101,2022-05-02,5,2,2022,West,Food & Beverage,Olive Oil,Eva Martinez,15,14.76,0.2,159.41,127.54,31.87,19.99,4.9
ORD-10917,2022-05-03,5,2,2022,East,Food & Beverage,Olive Oil,Alice Johnson,17,14.93,0.05,217.01,156.43,60.58,27.92,4.2
ORD-10636,2022-05-03,5,2,2022,North,Sports,Resistance Bands,Alice Johnson,49,14.89,0.2,525.32,504.6,20.72,3.94,4.0
ORD-10542,2022-05-04,5,2,2022,West,Clothing,Jeans,Bob Smith,46,61.15,0.1,2278.45,1467.08,811.37,35.61,4.3
ORD-10975,2022-05-04,5,2,2022,East,Sports,Yoga Mat,Bob Smith,39,35.09,0.0,1231.66,895.88,335.78,27.26,4.7
ORD-10887,2022-05-06,5,2,2022,West,Food & Beverage,Olive Oil,Carol White,29,13.48,0.2,281.46,224.24,57.22,20.33,3.3
ORD-10749,2022-05-07,5,2,2022,North,Electronics,Headphones,Carol White,2,165.56,0.2,238.41,212.4,26.01,10.91,4.6
ORD-10396,2022-05-07,5,2,2022,West,Home & Garden,Lamp,Carol White,9,45.61,0.05,350.97,227.98,122.99,35.04,3.0
ORD-10683,2022-05-09,5,2,2022,West,Clothing,T-Shirt,Eva Martinez,42,24.97,0.1,849.48,693.33,156.15,18.38,3.3
ORD-10472,2022-05-10,5,2,2022,North,Sports,Yoga Mat,David Brown,13,40.14,0.05,446.16,347.96,98.2,22.01,3.2
ORD-10098,2022-05-10,5,2,2022,West,Electronics,Laptop,Eva Martinez,3,1146.97,0.15,2632.3,2049.9,582.4,22.13,4.2
ORD-10425,2022-05-14,5,2,2022,South,Home & Garden,Plant Pot,Carol White,26,18.41,0.1,387.71,269.78,117.93,30.42,3.6
ORD-10715,2022-05-14,5,2,2022,South,Sports,Resistance Bands,Bob Smith,32,14.47,0.15,354.23,291.92,62.31,17.59,4.7
ORD-10287,2022-05-17,5,2,2022,West,Clothing,Jeans,Eva Martinez,24,62.49,0.15,1147.32,960.43,186.89,16.29,2.6
ORD-10612,2022-05-18,5,2,2022,East,Sports,Dumbbells,Alice Johnson,19,87.18,0.2,1192.62,1118.67,73.95,6.2,4.1
ORD-10544,2022-05-18,5,2,2022,West,Electronics,Smart Watch,Alice Johnson,9,296.11,0.15,2038.72,1779.58,259.14,12.71,4.0
ORD-10576,2022-05-20,5,2,2022,West,Food & Beverage,Green Tea,Bob Smith,20,11.62,0.1,188.24,160.7,27.54,14.63,3.1
ORD-10912,2022-05-21,5,2,2022,South,Clothing,Jeans,Carol White,36,57.48,0.15,1583.0,1052.12,530.88,33.54,4.4
ORD-10235,2022-05-23,5,2,2022,South,Sports,Yoga Mat,Carol White,36,32.79,0.2,849.92,677.32,172.6,20.31,2.6
ORD-10012,2022-05-23,5,2,2022,South,Food & Beverage,Olive Oil,Carol White,48,12.94,0.2,447.21,363.78,83.43,18.66,4.3
ORD-10210,2022-05-23,5,2,2022,West,Sports,Resistance Bands,Alice Johnson,6,16.55,0.0,89.37,54.73,34.64,38.76,5.0
ORD-10846,2022-05-24,5,2,2022,North,Clothing,Jacket,Eva Martinez,4,131.49,0.15,402.36,303.88,98.48,24.48,3.2
ORD-10723,2022-05-25,5,2,2022,North,Sports,Resistance Bands,Eva Martinez,3,15.33,0.1,37.25,24.56,12.69,34.07,4.4
ORD-10249,2022-05-25,5,2,2022,North,Electronics,Tablet,David Brown,14,502.02,0.2,5060.36,4101.89,958.47,18.94,3.2
ORD-10855,2022-05-25,5,2,2022,West,Clothing,T-Shirt,Eva Martinez,11,26.38,0.15,221.99,159.23,62.76,28.27,4.0
ORD-10107,2022-05-26,5,2,2022,North,Electronics,Smartphone,Carol White,5,826.76,0.2,2976.34,2828.51,147.83,4.97,4.7
ORD-10927,2022-05-26,5,2,2022,South,Home & Garden,Vacuum,Bob Smith,3,199.51,0.0,538.68,350.12,188.56,35.0,3.3
ORD-10922,2022-05-28,5,2,2022,North,Clothing,Dress,Carol White,24,84.67,0.15,1554.54,1183.48,371.06,23.87,3.4
ORD-10127,2022-05-28,5,2,2022,West,Clothing,Jacket,David Brown,13,110.88,0.1,1167.57,818.32,349.25,29.91,3.7
ORD-10734,2022-05-29,5,2,2022,South,Home & Garden,Coffee Maker,Eva Martinez,35,66.99,0.0,2110.18,1258.67,851.51,40.35,4.1
ORD-10821,2022-05-29,5,2,2022,South,Sports,Water Bottle,David Brown,16,18.92,0.15,231.58,195.31,36.27,15.66,4.4
ORD-10735,2022-05-30,5,2,2022,North,Home & Garden,Lamp,David Brown,20,50.08,0.15,766.22,650.16,116.06,15.15,3.7
ORD-10674,2022-05-30,5,2,2022,North,Home & Garden,Lamp,Alice Johnson,35,44.02,0.15,1178.64,826.31,352.33,29.89,3.9
ORD-10918,2022-05-30,5,2,2022,East,Sports,Dumbbells,Carol White,11,82.97,0.0,821.4,506.11,315.29,38.38,3.9
ORD-10271,2022-05-30,5,2,2022,East,Electronics,Tablet,Alice Johnson,6,564.57,0.15,2591.38,2138.12,453.26,17.49,5.0
ORD-10590,2022-06-02,6,2,2022,East,Sports,Dumbbells,Eva Martinez,47,88.79,0.1,3380.24,2198.31,1181.93,34.97,5.0
ORD-10437,2022-06-02,6,2,2022,North,Food & Beverage,Olive Oil,Eva Martinez,16,14.68,0.1,190.25,140.88,49.37,25.95,5.0
ORD-10211,2022-06-03,6,2,2022,West,Electronics,Tablet,Bob Smith,5,493.78,0.0,2222.01,1258.03,963.98,43.38,4.5
ORD-10475,2022-06-03,6,2,2022,South,Food & Beverage,Olive Oil,Eva Martinez,49,13.14,0.0,579.47,441.03,138.44,23.89,4.0
ORD-10321,2022-06-04,6,2,2022,North,Clothing,Dress,David Brown,24,82.91,0.0,1790.86,1240.8,550.06,30.71,2.7
ORD-10356,2022-06-04,6,2,2022,East,Electronics,Headphones,Alice Johnson,5,160.5,0.15,613.91,549.0,64.91,10.57,4.4
ORD-10503,2022-06-04,6,2,2022,South,Clothing,T-Shirt,David Brown,37,24.81,0.15,702.25,485.28,216.97,30.9,4.5
ORD-10395,2022-06-05,6,2,2022,West,Food & Beverage,Energy Bars,Bob Smith,6,22.47,0.0,121.34,71.19,50.15,41.33,3.9
ORD-10018,2022-06-06,6,2,2022,East,Clothing,Dress,Eva Martinez,1,88.92,0.2,64.02,50.22,13.8,21.56,2.8
ORD-10071,2022-06-06,6,2,2022,South,Electronics,Headphones,David Brown,6,131.05,0.2,566.14,466.42,99.72,17.61,4.3
ORD-10515,2022-06-06,6,2,2022,South,Electronics,Tablet,David Brown,11,468.89,0.0,4642.01,3262.28,1379.73,29.72,2.6
ORD-10914,2022-06-07,6,2,2022,East,Home & Garden,Lamp,Alice Johnson,42,49.26,0.1,1675.83,1207.07,468.76,27.97,4.0
ORD-10806,2022-06-07,6,2,2022,East,Clothing,Sneakers,Alice Johnson,5,103.37,0.0,465.17,273.31,191.86,41.25,3.7
ORD-10049,2022-06-08,6,2,2022,South,Clothing,Sneakers,David Brown,2,85.52,0.05,146.24,110.72,35.52,24.29,3.7
ORD-10169,2022-06-08,6,2,2022,West,Clothing,Jacket,Carol White,14,122.48,0.2,1234.6,983.41,251.19,20.35,3.8
ORD-10275,2022-06-11,6,2,2022,West,Sports,Water Bottle,Bob Smith,49,20.09,0.1,797.37,555.44,241.93,30.34,3.9
ORD-10624,2022-06-11,6,2,2022,North,Home & Garden,Lamp,Carol White,43,47.8,0.15,1572.38,1194.37,378.01,24.04,3.0
ORD-10387,2022-06-11,6,2,2022,West,Sports,Yoga Mat,David Brown,13,36.09,0.05,401.14,317.36,83.78,20.89,2.8
